2017rank,City,State,2017estimate,2010Census,Change,2016_land_area,2016_Population_Density,CityURL,CityInfo
1,New York City,New York,8398748,8175133,+2.74%,301.5sqmi 780.9km2,"28,317/sqmi 10,933/km2",https://en.wikipedia.org/wiki/New_York_City,"The City of New York, usually called either New York City (NYC) or simply New York (NY), is the most populous city in the United States."
2,Los Angeles,California,3990456,3792621,+5.22%,"468.7sqmi 1,213.9km2","8,484/sqmi 3,276/km2",https://en.wikipedia.org/wiki/Los_Angeles,"Los Angeles ( (listen); Spanish: Los Ángeles), officially the City of Los Angeles and often known by its initials L.A., is the most populous city in California, the second most populous city in the United States, after New York City, and the third most populous city in North America."
3,Chicago,Illinois,2705994,2695598,+0.39%,227.3sqmi 588.7km2,"11,900/sqmi 4,600/km2",https://en.wikipedia.org/wiki/Chicago,"Chicago ( (listen), locally also ), officially the City of Chicago, is the most populous city in Illinois, as well as the third most populous city in the United States."
4,Houston,Texas,2325502,2100263,+10.72%,"637.5sqmi 1,651.1km2","3,613/sqmi 1,395/km2",https://en.wikipedia.org/wiki/Houston,"Houston ( (listen) HEW-stən) is the most populous city in the U.S. state of Texas, fourth most populous city in the United States, as well as the sixth most populous in North America, with an estimated 2018 population of 2,328,419."
6,Philadelphia,Pennsylvania,1584138,1526006,+3.81%,134.2sqmi 347.6km2,"11,683/sqmi 4,511/km2",https://en.wikipedia.org/wiki/Philadelphia,"Philadelphia (Ancient Greek: φίλος ἀδελφός), known colloquially as Philly, is the largest city in the U.S. state and Commonwealth of Pennsylvania, and the sixth-most populous U.S. city, with a 2018 census-estimated population of 1,584,138."
7,San Antonio,Texas,1532233,1327407,+15.43%,"461.0sqmi 1,194.0km2","3,238/sqmi 1,250/km2",https://en.wikipedia.org/wiki/San_Antonio,"San Antonio (; from Spanish, ""Saint Anthony""), officially the City of San Antonio, is the seventh-most populous city in the United States, and the second-most populous city in both Texas and the Southern United States, with more than 1.5 million residents."
8,San Diego,California,1425976,1307402,+9.07%,325.2sqmi 842.3km2,"4,325/sqmi 1,670/km2",https://en.wikipedia.org/wiki/San_Diego,"San Diego (; Spanish for ""Saint Didacus""; Spanish: [san ˈdjeɣo]) is a city in the U.S. state of California."
9,Dallas,Texas,1345047,1197816,+12.29%,340.9sqmi 882.9km2,"3,866/sqmi 1,493/km2",https://en.wikipedia.org/wiki/Dallas,"Dallas (), officially the City of Dallas, is a city in the U.S. state of Texas and the seat of Dallas County, with portions extending into Collin, Denton, Kaufman and Rockwall counties."
10,San Jose,California,1030119,945942,+8.90%,177.5sqmi 459.7km2,"5,777/sqmi 2,231/km2","https://en.wikipedia.org/wiki/San_Jose,_California","San Jose (; Spanish for 'Saint Joseph'; Spanish: [saŋ xoˈse]), officially the City of San José, is the economic, cultural and political center of Silicon Valley, and the largest city in Northern California (both by population and area)."
11,Austin,Texas,964254,790390,+22.00%,312.7sqmi 809.9km2,"3,031/sqmi 1,170/km2","https://en.wikipedia.org/wiki/Austin,_Texas","Austin is the capital of the U.S. state of Texas and the seat of Travis County, with portions extending into Hays and Williamson counties."
12,Jacksonville,Florida,903889,821784,+9.99%,"747.4sqmi 1,935.8km2","1,178/sqmi 455/km2","https://en.wikipedia.org/wiki/Jacksonville,_Florida","Jacksonville is the most populous city in Florida, the most populous city in the southeastern United States and the largest city by area in the contiguous United States."
13,Fort Worth,Texas,895008,741206,+20.75%,342.9sqmi 888.1km2,"2,491/sqmi 962/km2","https://en.wikipedia.org/wiki/Fort_Worth,_Texas",Fort Worth is a city in the U.S. state of Texas.
15,San Francisco,California,883305,805235,+9.70%,46.9sqmi 121.5km2,"18,569/sqmi 7,170/km2",https://en.wikipedia.org/wiki/San_Francisco,"San Francisco (SF; , Spanish: [sam fɾanˈsisko]; Spanish for 'Saint Francis'), officially the City and County of San Francisco, is a city in, and the cultural, commercial, and financial center of, Northern California."
